"","Entry.Id","Sports..e.g..Baseball..Football......","Crime.Data..e.g..FBI.Database.","Health...fitness","Health...diseases","Movies..e.g..ratings..box.office.revenues......","Climate.Environment.Weather","Traveling..e.g..flight.delays..tarmac.waits..airport.performance......","Environmental.Data..e.g..pollution..fuel.economy..CO2.emissions......","Salaries...economics..financial.data","Global.issues..comparison.across.countries","Other.topic.s.","Description","Date.Created","Created.By","Last.Updated","Updated.By","IP.Address","Last.Page.Accessed","Completion.Status"
"1",547,"Favorite","Like it","Like it","Like it","Like it very much","Favorite","Like it","Like it","Like it very much","Like it","","","2018-01-09 11:31:32","public",NA,NA,"129.186.253.202",1,1
"2",548,"Favorite","Like it very much","Favorite","Like it very much","Don't like it that much","Like it","Like it very much","Don't like it that much","Favorite","Don't like it that much","","","2018-01-09 11:31:52","public",NA,NA,"129.186.253.142",1,1
"3",549,"Like it","Like it","Like it","Favorite","Like it","Like it very much","Like it","Like it very much","Favorite","Favorite","","","2018-01-09 11:35:07","public",NA,NA,"129.186.253.202",1,1
"4",550,"Favorite","Like it","Don't like it that much","Don't like it that much","Favorite","Like it very much","Like it","Don't like it that much","Like it","Don't like it that much","","","2018-01-09 11:35:55","public",NA,NA,"129.186.253.142",1,1
"5",551,"Favorite","Like it very much","Like it","Like it","Favorite","Like it","Like it","Like it","Like it very much","Like it","","","2018-01-09 11:35:55","public",NA,NA,"129.186.253.202",1,1
"6",552,"Don't like it that much","Like it","Like it very much","Like it very much","Don't like it that much","Like it","Don't like it that much","Like it very much","Don't like it that much","Favorite","","","2018-01-09 11:36:09","public",NA,NA,"129.186.248.17",1,1
"7",553,"Don't like it that much","Favorite","Like it","Like it very much","Like it","Like it very much","Like it","Like it","Like it","Like it","","","2018-01-09 11:36:18","public",NA,NA,"129.186.253.142",1,1
"8",554,"Favorite","Like it very much","Don't like it that much","Don't like it that much","Don't like it that much","Like it","Don't like it that much","Like it","Like it very much","Don't like it that much","","","2018-01-09 11:36:18","public",NA,NA,"129.186.253.202",1,1
"9",555,"Like it","Like it","Like it very much","Like it","Like it","Like it","Don't like it that much","Favorite","Favorite","Like it","","","2018-01-09 11:36:23","public",NA,NA,"129.186.253.142",1,1
"10",556,"Like it","Like it","Like it very much","Like it very much","Favorite","Favorite","Favorite","Favorite","Favorite","Like it very much","Geography ","","2018-01-09 11:36:35","public",NA,NA,"129.186.251.21",1,1
"11",557,"Favorite","Favorite","Favorite","Don't like it that much","Favorite","Don't like it that much","Favorite","Don't like it that much","Favorite","Don't like it that much","Leaders in different categories like sports, celebrity salaries, etc.","","2018-01-09 11:36:44","public",NA,NA,"129.186.251.21",1,1
"12",558,"Don't like it that much","Like it very much","Like it","Like it very much","Like it very much","Like it","Like it very much","Don't like it that much","Don't like it that much","Like it","None","","2018-01-09 11:36:47","public",NA,NA,"129.186.251.21",1,1
"13",559,"Like it","Favorite","Favorite","Favorite","Like it very much","Like it","Favorite","Like it","Favorite","Favorite","Video game Sale / rating data","","2018-01-09 11:37:08","public",NA,NA,"129.186.251.172",1,1
"14",560,"Don't like it that much","Favorite","Favorite","Like it very much","Like it","Like it","Like it","Favorite","Like it very much","Like it very much","","","2018-01-09 11:37:16","public",NA,NA,"129.186.253.202",1,1
"15",561,"Don't like it that much","Like it","Like it very much","Favorite","Don't like it that much","Like it","Like it very much","Don't like it that much","Favorite","Like it very much","Property and casualty","-car crashes
-destruction from severe weather
-geographical regions that are most impacted by certain events","2018-01-09 11:37:22","public",NA,NA,"129.186.251.21",1,1
"16",562,"Don't like it that much","Like it very much","Like it very much","Like it","Favorite","Like it","Like it very much","Like it","Like it very much","Favorite","","","2018-01-09 11:37:48","public",NA,NA,"129.186.248.17",1,1
"17",563,"Like it","Favorite","Like it","Like it","Favorite","Like it","Like it very much","Favorite","Favorite","Like it very much","","","2018-01-09 11:37:50","public",NA,NA,"129.186.253.202",1,1
"18",564,"Don't like it that much","Like it","Like it","Like it","Don't like it that much","Don't like it that much","Like it","Don't like it that much","Like it","Like it","","","2018-01-09 11:39:04","public",NA,NA,"129.186.253.202",1,1
